county,pop_2018,area_sqkm,pop_2018_sqkm
Alcona,10360,1747.349262,5.92898067106632
Alger,9118,2369.92545,3.84737840593256
Allegan,117173,2137.385001,54.8207271713703
Alpena,28384,1481.123844,19.1638262492248
Antrim,23323,1231.999038,18.9310212756838
Arenac,15008,940.624056,15.9553648498226
Balance_of_Wayne,1081791,1225.774583,882.536654783941
Baraga,8324,2326.913893,3.57727031715307
Barry,61231,1432.508482,42.7439004860287
Bay,103702,1145.3973,90.5380168086654
Benzie,17761,828.014438,21.4501090619871
Berrien,153790,1470.53556,104.580946005821
Branch,43566,1311.60422,33.2158126176203
Calhoun,134049,1829.198158,73.2829296890206
Cass,51725,1269.367168,40.7486512208263
Charlevoix,26187,1078.288789,24.2857018148966
Cheboygan,25504,1852.551605,13.7669579250398
Chippewa,37461,4036.515588,9.2805290065933
Clare,30735,1461.70023,21.0268831934165
Clinton,79219,1467.017476,54.0000383744577
Crawford,13905,1441.075564,9.64904294220619
Delta,35843,3033.137838,11.8171352290519
Detroit City,672662,359.279682,1872.25171280351
Dickinson,25371,1970.845136,12.8731575792366
Eaton,109710,1489.766542,73.6424110134163
Emmet,33225,1210.868924,27.4389732377012
Genesee,406688,1649.727711,246.518257096792
Gladwin,25326,1299.620449,19.4872279975952
Gogebic,15116,2854.517985,5.29546497147048
Grand Traverse,92530,1202.632771,76.9395298641833
Gratiot,40602,1472.098936,27.5810266600179
Hillsdale,45702,1549.207127,29.5002515825632
Houghton,35943,2613.55838,13.7525146845964
Huron,31211,2165.345386,14.4138668139476
Ingham,291612,1440.364339,202.457109013444
Ionia,64276,1479.707916,43.4383024548204
Iosco,25103,1422.175727,17.651123924716
Iron,11104,3019.919279,3.67691947172738
Isabella,70463,1483.282619,47.5047702288218
Jackson,158566,1817.861892,87.2266483487075
Kalamazoo,264680,1455.799921,181.810698147441
Kalkaska,17806,1449.729125,12.2822944596633
Kent,653350,2196.437063,297.4590126009
Keweenaw,2090,1398.883257,1.49404890618403
Lake,11876,1470.021792,8.07879180065924
Lapeer,87921,1669.484578,52.6635592557118
Leelanau,21714,899.243343,24.1469677468605
Lenawee,98141,1941.541486,50.5479798951873
Livingston,191190,1463.980375,130.596012941772
Luce,6327,2328.593563,2.71709073688614
Mackinac,10781,2646.617352,4.07350159321407
Macomb,872795,1241.247601,703.159465763995
Manistee,24455,1404.616462,17.4104466675402
Marquette,66381,4685.391001,14.1676543080038
Mason,29084,1281.971751,22.6869273658433
Mecosta,43400,1437.746376,30.1861306865155
Menominee,22927,2704.053271,8.47875308000912
Midland,83223,1337.113497,62.2407897210838
Missaukee,15101,1462.793644,10.3233973308131
Monroe,150174,1422.800567,105.548172725742
Montcalm,63936,1826.792558,34.9990477681812
Montmorency,9275,1415.881033,6.55069160743535
Muskegon,173599,1305.064357,133.01949368923
Newaygo,48839,2172.732924,22.4781423710777
Oakland,1256694,2246.566547,559.38427538599
Oceana,26555,1393.655084,19.0542124122872
Ogemaw,20882,1459.466633,14.3079667104661
Ontonagon,5801,3395.416179,1.70847981342555
Osceola,23377,1466.674351,15.9387801280231
Oscoda,8224,1465.088063,5.61331445371281
Otsego,24641,1333.913825,18.4727075604003
Ottawa,289808,1459.502408,198.566304797765
Presque Isle,12698,1706.069997,7.44283647349083
Roscommon,23812,1346.526278,17.6840217595813
Saginaw,190791,2073.196027,92.0274771489324
Sanilac,41192,2493.045477,16.5227631746085
Schoolcraft,8044,3035.145668,2.65028465842978
Shiawassee,68133,1375.178357,49.544846058103
St. Clair,159031,1868.189426,85.1257360665524
St. Joseph,60912,1296.53637,46.9805563572428
Tuscola,52633,2083.665459,25.2598130725168
Van Buren,75481,1574.182109,47.9493443410746
Washtenaw,369483,1828.460768,202.07324459258
Wexford,33446,1463.148723,22.85892026849
