County,Cases,Reported_Deaths,Date
Allegan,18,,"2020-04-09"
Antrim,6,,"2020-04-09"
Arenac,4,,"2020-04-09"
Barry,7,,"2020-04-09"
Bay,42,,"2020-04-09"
Berrien,80,2,"2020-04-09"
Branch,24,1,"2020-04-09"
Calhoun,57,1,"2020-04-09"
Cass,10,1,"2020-04-09"
Charlevoix,9,,"2020-04-09"
Cheboygan,10,1,"2020-04-09"
Chippewa,1,,"2020-04-09"
Clare,2,,"2020-04-09"
Clinton,85,1,"2020-04-09"
Crawford,5,1,"2020-04-09"
Delta,9,1,"2020-04-09"
Detroit City,6061,275,"2020-04-09"
Dickinson,3,1,"2020-04-09"
Eaton,69,3,"2020-04-09"
Emmet,16,2,"2020-04-09"
Genesee,755,48,"2020-04-09"
Gladwin,4,,"2020-04-09"
Gogebic,3,1,"2020-04-09"
Grand Traverse,15,3,"2020-04-09"
Gratiot,6,,"2020-04-09"
Hillsdale,64,6,"2020-04-09"
Houghton,1,,"2020-04-09"
Huron,5,,"2020-04-09"
Ingham,222,3,"2020-04-09"
Ionia,13,1,"2020-04-09"
Iosco,4,1,"2020-04-09"
Isabella,28,2,"2020-04-09"
Jackson,131,4,"2020-04-09"
Kalamazoo,74,6,"2020-04-09"
Kalkaska,10,2,"2020-04-09"
Kent,233,9,"2020-04-09"
Lapeer,77,5,"2020-04-09"
Leelanau,4,,"2020-04-09"
Lenawee,39,,"2020-04-09"
Livingston,181,2,"2020-04-09"
Luce,1,,"2020-04-09"
Mackinac,4,,"2020-04-09"
Macomb,2783,165,"2020-04-09"
Manistee,9,,"2020-04-09"
Marquette,18,2,"2020-04-09"
Mason,1,,"2020-04-09"
Mecosta,9,1,"2020-04-09"
Midland,28,1,"2020-04-09"
Missaukee,1,1,"2020-04-09"
Monroe,165,1,"2020-04-09"
Montcalm,19,1,"2020-04-09"
Muskegon,53,4,"2020-04-09"
Newaygo,3,,"2020-04-09"
Oakland,4247,246,"2020-04-09"
Oceana,3,1,"2020-04-09"
Ogemaw,3,,"2020-04-09"
Osceola,3,,"2020-04-09"
Oscoda,3,,"2020-04-09"
Otsego,29,2,"2020-04-09"
Ottawa,59,1,"2020-04-09"
Presque Isle,1,,"2020-04-09"
Roscommon,8,,"2020-04-09"
Saginaw,205,7,"2020-04-09"
Sanilac,21,2,"2020-04-09"
Schoolcraft,1,,"2020-04-09"
Shiawassee,31,,"2020-04-09"
St Clair,162,4,"2020-04-09"
St Joseph,18,,"2020-04-09"
Tuscola,36,3,"2020-04-09"
Van Buren,18,1,"2020-04-09"
Washtenaw,637,15,"2020-04-09"
Wayne,4032,229,"2020-04-09"
Wexford,7,,"2020-04-09"
Other*,290,4,"2020-04-09"
Unknown,78,1,"2020-04-09"
Out of State,131,1,"2020-04-09"
Allegan,18,,"2020-04-08"
Antrim,6,,"2020-04-08"
Arenac,4,,"2020-04-08"
Barry,7,,"2020-04-08"
Bay,39,,"2020-04-08"
Berrien,72,2,"2020-04-08"
Branch,18,1,"2020-04-08"
Calhoun,51,1,"2020-04-08"
Cass,9,1,"2020-04-08"
Charlevoix,8,,"2020-04-08"
Cheboygan,10,1,"2020-04-08"
Chippewa,1,,"2020-04-08"
Clare,2,,"2020-04-08"
Clinton,82,1,"2020-04-08"
Crawford,5,1,"2020-04-08"
Delta,8,,"2020-04-08"
Detroit City,5824,251,"2020-04-08"
Dickinson,2,1,"2020-04-08"
Eaton,67,3,"2020-04-08"
Emmet,15,2,"2020-04-08"
Genesee,713,39,"2020-04-08"
Gladwin,4,,"2020-04-08"
Gogebic,3,1,"2020-04-08"
Grand Traverse,15,3,"2020-04-08"
Gratiot,5,,"2020-04-08"
Hillsdale,62,4,"2020-04-08"
Houghton,1,,"2020-04-08"
Huron,4,,"2020-04-08"
Ingham,205,2,"2020-04-08"
Ionia,11,1,"2020-04-08"
Iosco,4,1,"2020-04-08"
Isabella,22,2,"2020-04-08"
Jackson,126,4,"2020-04-08"
Kalamazoo,67,6,"2020-04-08"
Kalkaska,10,2,"2020-04-08"
Kent,207,8,"2020-04-08"
Lapeer,64,5,"2020-04-08"
Leelanau,4,,"2020-04-08"
Lenawee,36,,"2020-04-08"
Livingston,174,2,"2020-04-08"
Luce,1,,"2020-04-08"
Mackinac,3,,"2020-04-08"
Macomb,2626,141,"2020-04-08"
Manistee,9,,"2020-04-08"
Marquette,18,2,"2020-04-08"
Mason,1,,"2020-04-08"
Mecosta,8,1,"2020-04-08"
Midland,24,1,"2020-04-08"
Missaukee,1,1,"2020-04-08"
Monroe,152,,"2020-04-08"
Montcalm,18,1,"2020-04-08"
Muskegon,42,4,"2020-04-08"
Newaygo,3,,"2020-04-08"
Oakland,4007,234,"2020-04-08"
Oceana,3,1,"2020-04-08"
Ogemaw,3,,"2020-04-08"
Osceola,3,,"2020-04-08"
Oscoda,2,,"2020-04-08"
Otsego,29,2,"2020-04-08"
Ottawa,55,,"2020-04-08"
Presque Isle,1,,"2020-04-08"
Roscommon,6,,"2020-04-08"
Saginaw,186,6,"2020-04-08"
Sanilac,22,2,"2020-04-08"
Schoolcraft,1,,"2020-04-08"
Shiawassee,27,,"2020-04-08"
St Clair,140,3,"2020-04-08"
St Joseph,16,,"2020-04-08"
Tuscola,27,2,"2020-04-08"
Van Buren,18,1,"2020-04-08"
Washtenaw,610,13,"2020-04-08"
Wayne,3802,195,"2020-04-08"
Wexford,7,,"2020-04-08"
Other*,287,2,"2020-04-08"
Unknown,77,1,"2020-04-08"
Out of State,126,1,"2020-04-08"
Allegan,15,,"2020-04-06"
Antrim,5,,"2020-04-06"
Arenac,3,,"2020-04-06"
Barry,7,,"2020-04-06"
Bay,30,,"2020-04-06"
Berrien,60,1,"2020-04-06"
Branch,15,1,"2020-04-06"
Calhoun,41,1,"2020-04-06"
Cass,7,1,"2020-04-06"
Charlevoix,8,,"2020-04-06"
Cheboygan,8,1,"2020-04-06"
Chippewa,1,,"2020-04-06"
Clare,3,,"2020-04-06"
Clinton,56,1,"2020-04-06"
Crawford,2,,"2020-04-06"
Delta,7,,"2020-04-06"
Detroit City,5023,193,"2020-04-06"
Dickinson,2,1,"2020-04-06"
Eaton,57,2,"2020-04-06"
Emmet,13,2,"2020-04-06"
Genesee,568,26,"2020-04-06"
Gladwin,4,,"2020-04-06"
Gogebic,3,1,"2020-04-06"
Grand Traverse,14,3,"2020-04-06"
Gratiot,5,,"2020-04-06"
Hillsdale,46,3,"2020-04-06"
Houghton,1,,"2020-04-06"
Huron,4,,"2020-04-06"
Ingham,178,1,"2020-04-06"
Ionia,8,,"2020-04-06"
Iosco,3,1,"2020-04-06"
Isabella,16,2,"2020-04-06"
Jackson,103,4,"2020-04-06"
Kalamazoo,58,3,"2020-04-06"
Kalkaska,8,2,"2020-04-06"
Kent,177,5,"2020-04-06"
Lapeer,49,,"2020-04-06"
Leelanau,2,,"2020-04-06"
Lenawee,32,,"2020-04-06"
Livingston,143,2,"2020-04-06"
Luce,1,,"2020-04-06"
Mackinac,2,,"2020-04-06"
Macomb,2159,100,"2020-04-06"
Manistee,6,,"2020-04-06"
Marquette,15,2,"2020-04-06"
Mecosta,6,1,"2020-04-06"
Midland,22,,"2020-04-06"
Missaukee,1,1,"2020-04-06"
Monroe,117,,"2020-04-06"
Montcalm,15,,"2020-04-06"
Muskegon,33,4,"2020-04-06"
Newaygo,2,,"2020-04-06"
Oakland,3380,185,"2020-04-06"
Oceana,3,,"2020-04-06"
Ogemaw,3,,"2020-04-06"
Ontonagon,1,,"2020-04-06"
Osceola,3,,"2020-04-06"
Oscoda,2,,"2020-04-06"
Otsego,26,2,"2020-04-06"
Ottawa,44,,"2020-04-06"
Presque Isle,1,,"2020-04-06"
Roscommon,5,,"2020-04-06"
Saginaw,139,2,"2020-04-06"
Sanilac,14,2,"2020-04-06"
Shiawassee,24,,"2020-04-06"
St Clair,110,3,"2020-04-06"
St Joseph,11,,"2020-04-06"
Tuscola,22,2,"2020-04-06"
Van Buren,16,1,"2020-04-06"
Washtenaw,539,10,"2020-04-06"
Wayne,3247,153,"2020-04-06"
Wexford,5,,"2020-04-06"
Other*,241,1,"2020-04-06"
Unknown,130,,"2020-04-06"
Out of State,91,1,"2020-04-06"
Allegan,14,,"2020-04-05"
Antrim,4,,"2020-04-05"
Arenac,3,,"2020-04-05"
Barry,6,,"2020-04-05"
Bay,30,,"2020-04-05"
Benzie,1,,"2020-04-05"
Berrien,58,1,"2020-04-05"
Branch,13,1,"2020-04-05"
Calhoun,42,1,"2020-04-05"
Cass,7,1,"2020-04-05"
Charlevoix,7,,"2020-04-05"
Cheboygan,8,1,"2020-04-05"
Chippewa,2,,"2020-04-05"
Clare,1,,"2020-04-05"
Clinton,55,1,"2020-04-05"
Crawford,1,,"2020-04-05"
Delta,7,,"2020-04-05"
Detroit City,4495,158,"2020-04-05"
Dickinson,1,1,"2020-04-05"
Eaton,55,2,"2020-04-05"
Emmet,13,2,"2020-04-05"
Genesee,504,18,"2020-04-05"
Gladwin,4,,"2020-04-05"
Gogebic,3,1,"2020-04-05"
Grand Traverse,12,3,"2020-04-05"
Gratiot,4,,"2020-04-05"
Hillsdale,44,3,"2020-04-05"
Houghton,1,,"2020-04-05"
Huron,4,,"2020-04-05"
Ingham,172,2,"2020-04-05"
Ionia,8,,"2020-04-05"
Iosco,3,1,"2020-04-05"
Isabella,12,2,"2020-04-05"
Jackson,90,3,"2020-04-05"
Kalamazoo,53,3,"2020-04-05"
Kalkaska,8,2,"2020-04-05"
Kent,165,3,"2020-04-05"
Lapeer,45,,"2020-04-05"
Leelanau,1,,"2020-04-05"
Lenawee,31,,"2020-04-05"
Livingston,135,2,"2020-04-05"
Luce,1,,"2020-04-05"
Mackinac,2,,"2020-04-05"
Macomb,2003,83,"2020-04-05"
Manistee,4,,"2020-04-05"
Marquette,14,1,"2020-04-05"
Mecosta,6,1,"2020-04-05"
Midland,18,,"2020-04-05"
Missaukee,1,1,"2020-04-05"
Monroe,108,,"2020-04-05"
Montcalm,14,,"2020-04-05"
Muskegon,31,4,"2020-04-05"
Newaygo,2,,"2020-04-05"
Oakland,3035,163,"2020-04-05"
Oceana,3,,"2020-04-05"
Ogemaw,3,,"2020-04-05"
Ontonagon,1,,"2020-04-05"
Osceola,3,,"2020-04-05"
Oscoda,2,,"2020-04-05"
Otsego,24,1,"2020-04-05"
Ottawa,44,,"2020-04-05"
Roscommon,5,,"2020-04-05"
Saginaw,118,,"2020-04-05"
Sanilac,13,1,"2020-04-05"
Shiawassee,23,,"2020-04-05"
St Clair,94,2,"2020-04-05"
St Joseph,10,,"2020-04-05"
Tuscola,22,2,"2020-04-05"
Van Buren,14,1,"2020-04-05"
Washtenaw,518,8,"2020-04-05"
Wayne,3023,135,"2020-04-05"
Wexford,5,,"2020-04-05"
Other*,238,1,"2020-04-05"
Unknown,111,,"2020-04-05"
Out of State,83,1,"2020-04-05"
Allegan,10,,"2020-04-04"
Antrim,4,,"2020-04-04"
Arenac,3,,"2020-04-04"
Barry,5,,"2020-04-04"
Bay,24,,"2020-04-04"
Berrien,56,1,"2020-04-04"
Branch,10,,"2020-04-04"
Calhoun,34,1,"2020-04-04"
Cass,6,1,"2020-04-04"
Charlevoix,7,,"2020-04-04"
Cheboygan,7,1,"2020-04-04"
Chippewa,1,,"2020-04-04"
Clare,1,,"2020-04-04"
Clinton,54,1,"2020-04-04"
Crawford,1,,"2020-04-04"
Delta,5,,"2020-04-04"
Detroit City,3958,131,"2020-04-04"
Dickinson,1,1,"2020-04-04"
Eaton,53,2,"2020-04-04"
Emmet,7,2,"2020-04-04"
Genesee,464,15,"2020-04-04"
Gladwin,3,,"2020-04-04"
Gogebic,3,1,"2020-04-04"
Grand Traverse,12,3,"2020-04-04"
Gratiot,4,,"2020-04-04"
Hillsdale,37,2,"2020-04-04"
Houghton,2,,"2020-04-04"
Huron,4,,"2020-04-04"
Ingham,168,1,"2020-04-04"
Ionia,6,,"2020-04-04"
Iosco,2,1,"2020-04-04"
Isabella,10,2,"2020-04-04"
Jackson,81,3,"2020-04-04"
Kalamazoo,45,3,"2020-04-04"
Kalkaska,8,1,"2020-04-04"
Kent,153,2,"2020-04-04"
Lapeer,27,,"2020-04-04"
Leelanau,1,,"2020-04-04"
Lenawee,27,,"2020-04-04"
Livingston,129,2,"2020-04-04"
Luce,1,,"2020-04-04"
Mackinac,2,,"2020-04-04"
Macomb,1838,78,"2020-04-04"
Manistee,4,,"2020-04-04"
Marquette,11,1,"2020-04-04"
Mecosta,4,1,"2020-04-04"
Midland,17,,"2020-04-04"
Missaukee,1,1,"2020-04-04"
Monroe,101,,"2020-04-04"
Montcalm,13,,"2020-04-04"
Muskegon,31,2,"2020-04-04"
Newaygo,2,,"2020-04-04"
Oakland,2785,142,"2020-04-04"
Oceana,3,,"2020-04-04"
Ogemaw,2,,"2020-04-04"
Osceola,4,,"2020-04-04"
Oscoda,2,,"2020-04-04"
Otsego,22,1,"2020-04-04"
Ottawa,39,,"2020-04-04"
Roscommon,2,,"2020-04-04"
Saginaw,103,,"2020-04-04"
Sanilac,13,1,"2020-04-04"
Shiawassee,22,,"2020-04-04"
St Clair,85,2,"2020-04-04"
St Joseph,9,,"2020-04-04"
Tuscola,20,2,"2020-04-04"
Van Buren,12,1,"2020-04-04"
Washtenaw,501,8,"2020-04-04"
Wayne,2804,121,"2020-04-04"
Wexford,4,,"2020-04-04"
Other*,188,1,"2020-04-04"
Unknown,64,,"2020-04-04"
Out of State,83,1,"2020-04-04"
Allegan,6,,"2020-04-03"
Antrim,4,,"2020-04-03"
Arenac,2,,"2020-04-03"
Barry,5,,"2020-04-03"
Bay,18,,"2020-04-03"
Berrien,52,1,"2020-04-03"
Branch,6,,"2020-04-03"
Calhoun,31,1,"2020-04-03"
Cass,6,1,"2020-04-03"
Charlevoix,5,,"2020-04-03"
Cheboygan,6,,"2020-04-03"
Chippewa,1,,"2020-04-03"
Clare,2,,"2020-04-03"
Clinton,49,1,"2020-04-03"
Crawford,1,,"2020-04-03"
Delta,5,,"2020-04-03"
Detroit City,3550,117,"2020-04-03"
Dickinson,1,1,"2020-04-03"
Eaton,47,2,"2020-04-03"
Emmet,6,2,"2020-04-03"
Genesee,422,11,"2020-04-03"
Gladwin,2,,"2020-04-03"
Gogebic,3,1,"2020-04-03"
Grand Traverse,11,2,"2020-04-03"
Gratiot,5,,"2020-04-03"
Hillsdale,26,2,"2020-04-03"
Houghton,1,,"2020-04-03"
Huron,4,,"2020-04-03"
Ingham,152,1,"2020-04-03"
Ionia,6,,"2020-04-03"
Iosco,1,,"2020-04-03"
Isabella,9,2,"2020-04-03"
Jackson,69,3,"2020-04-03"
Kalamazoo,40,1,"2020-04-03"
Kalkaska,8,1,"2020-04-03"
Kent,136,2,"2020-04-03"
Lapeer,22,,"2020-04-03"
Leelanau,1,,"2020-04-03"
Lenawee,24,,"2020-04-03"
Livingston,121,2,"2020-04-03"
Luce,1,,"2020-04-03"
Mackinac,2,,"2020-04-03"
Macomb,1560,65,"2020-04-03"
Manistee,1,,"2020-04-03"
Marquette,7,,"2020-04-03"
Mecosta,4,1,"2020-04-03"
Midland,16,,"2020-04-03"
Missaukee,1,1,"2020-04-03"
Monroe,95,,"2020-04-03"
Montcalm,12,,"2020-04-03"
Muskegon,30,2,"2020-04-03"
Newaygo,2,,"2020-04-03"
Oakland,2540,136,"2020-04-03"
Oceana,3,,"2020-04-03"
Ogemaw,2,,"2020-04-03"
Osceola,3,,"2020-04-03"
Oscoda,2,,"2020-04-03"
Otsego,20,,"2020-04-03"
Ottawa,37,,"2020-04-03"
Presque Isle,1,,"2020-04-03"
Roscommon,2,,"2020-04-03"
Saginaw,90,,"2020-04-03"
Sanilac,10,1,"2020-04-03"
Shiawassee,18,,"2020-04-03"
St Clair,66,,"2020-04-03"
St Joseph,10,,"2020-04-03"
Tuscola,15,2,"2020-04-03"
Van Buren,12,1,"2020-04-03"
Washtenaw,477,8,"2020-04-03"
Wayne,2546,106,"2020-04-03"
Wexford,4,,"2020-04-03"
Other*,187,1,"2020-04-03"
Unknown,28,,"2020-04-03"
Out of State,74,1,"2020-04-03"
Allegan,6,,"2020-04-02"
Antrim,4,,"2020-04-02"
Arenac,2,,"2020-04-02"
Barry,5,,"2020-04-02"
Bay,18,,"2020-04-02"
Berrien,52,1,"2020-04-02"
Branch,6,,"2020-04-02"
Calhoun,31,1,"2020-04-02"
Cass,6,1,"2020-04-02"
Charlevoix,5,,"2020-04-02"
Cheboygan,6,,"2020-04-02"
Chippewa,1,,"2020-04-02"
Clare,2,,"2020-04-02"
Clinton,49,1,"2020-04-02"
Crawford,1,,"2020-04-02"
Delta,5,,"2020-04-02"
Detroit City,3550,117,"2020-04-02"
Dickinson,1,1,"2020-04-02"
Eaton,47,2,"2020-04-02"
Emmet,6,2,"2020-04-02"
Genesee,422,11,"2020-04-02"
Gladwin,2,,"2020-04-02"
Gogebic,3,1,"2020-04-02"
Grand Traverse,11,2,"2020-04-02"
Gratiot,5,,"2020-04-02"
Hillsdale,26,2,"2020-04-02"
Houghton,1,,"2020-04-02"
Huron,4,,"2020-04-02"
Ingham,152,1,"2020-04-02"
Ionia,6,,"2020-04-02"
Iosco,1,,"2020-04-02"
Isabella,9,2,"2020-04-02"
Jackson,69,3,"2020-04-02"
